text,label_str,source,priority,label,weight
Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,positive,allagree,1,2,1.0
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",neutral,allagree,1,1,1.0
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,neutral,allagree,1,1,1.0
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,negative,allagree,1,0,1.0
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,allagree,1,2,1.0
The company then said it will focus its resources on clinical research .,neutral,allagree,1,1,1.0
The value of the order is USD 2.2 mn .,neutral,allagree,1,1,1.0
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,75agree,2,2,0.7
The orders also include a few high-power drives for the control of seismic compressors .,neutral,allagree,1,1,1.0
Basware Einvoices Oy will be merged into the parent company during the present fiscal period .,neutral,75agree,2,1,0.7
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",negative,allagree,1,0,1.0
"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,75agree,2,1,0.7
"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .",positive,75agree,2,2,0.7
The customer is local company Etera Mutual Pension Insurance Co and the principal tenant of the unit will be media company Alma Media Corp HEL : ALN1V .,neutral,allagree,1,1,1.0
The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .,neutral,75agree,2,1,0.7
Currency conversions are based on exchange rates at the time of the deal .,neutral,allagree,1,1,1.0
"The important thing now is to keep the bank 's existing 15,000 customers .",neutral,75agree,2,1,0.7
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",neutral,allagree,1,1,1.0
Total operating revenue grew by 27.6 % year-on-year to EUR61m .,positive,allagree,1,2,1.0
"The Board of Directors proposes to the Shareholders ' Meeting on 18 March 2010 that the company would pay dividend for the financial year January 1 - December 31 , 2009 , EUR 0.02 per share .",neutral,75agree,2,1,0.7
Our superior customer centricity and expertise in digital services set us apart from our competitors .,positive,75agree,2,2,0.7
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",positive,75agree,2,2,0.7
